iter	Passed	Remaining
395	1861	488
396	1866	484
397	1870	479
398	1874	474
399	1879	469
400	1883	465
401	1888	460
402	1892	455
403	1897	450
404	1901	446
405	1906	441
406	1910	436
407	1914	431
408	1919	427
409	1923	422
410	1928	417
411	1932	412
412	1936	408
413	1941	403
414	1945	398
415	1950	393
416	1954	389
417	1958	384
418	1963	379
419	1967	374
420	1972	370
421	1976	365
422	1981	360
423	1985	355
424	1989	351
425	1994	346
426	1998	341
427	2003	336
428	2007	332
429	2012	327
430	2016	322
431	2021	318
432	2025	313
433	2029	308
434	2034	303
435	2038	299
436	2043	294
437	2047	289
438	2052	285
439	2056	280
440	2061	275
441	2065	271
442	2069	266
443	2074	261
444	2078	256
445	2083	252
446	2087	247
447	2091	242
448	2096	238
449	2100	233
450	2104	228
451	2109	223
452	2113	219
453	2118	214
454	2122	209
455	2126	205
456	2131	200
457	2135	195
458	2140	191
459	2144	186
460	2149	181
461	2153	177
462	2158	172
463	2162	167
464	2166	163
465	2171	158
466	2175	153
467	2180	149
468	2184	144
469	2188	139
470	2193	135
471	2197	130
472	2202	125
473	2206	121
474	2210	116
475	2215	111
476	2219	107
477	2224	102
478	2228	97
479	2233	93
480	2237	88
481	2241	83
482	2246	79
483	2251	74
484	2255	69
485	2259	65
486	2264	60
487	2268	55
488	2272	51
489	2277	46
490	2281	41
491	2286	37
492	2290	32
493	2295	27
494	2299	23
495	2304	18
496	2308	13
497	2313	9
498	2317	4
499	2321	0
